Related, Level 1, Level 2, Level 3, Level 4 
Course (GA), Suryendu Dalal, Debajyoti Bera, A V Subramanyam (HoD), Sumit J Darak (DoAA)
Course (ML), Vishal Kumar, Vinayak Abrol, A V Subramanyam (HoD), Sumit J Darak (DoAA)
Course (OOPD), Ayush Giri, Arani Bhatacharya, A V Subramanyam (HoD), Sumit J Darak (DoAA)
Registration, JM/AM/DM Academics (BTech), Manager (Academics), - , Sumit J Darak (DoAA)
Registration, JM/AM/DM Academics (MTech), Manager (Academics), - , Sumit J Darak (DoAA)
Registration, JM/AM/DM Academics (PhD), Manager (Academics), - , Sumit J Darak (DoAA)
Other Academic Issues, JM/AM/DM Academics (BTech), Manager (Academics), A V Subramanyam (HoD), Sumit J Darak (DoAA)
Other Academic Issues, JM/AM/DM Academics (MTech), Manager (Academics), A V Subramanyam (HoD), Sumit J Darak (DoAA)
Other Academic Issues, JM/AM/DM Academics (PhD), Manager (Academics), A V Subramanyam (HoD), Sumit J Darak (DoAA)
